Recall,value,RT,index_type,valueType
0.855,16,1.286607,hnsw,ef
0.939,32,1.586854,hnsw,ef
0.981,64,2.076077,hnsw,ef
0.995,128,2.897177,hnsw,ef
0.999,256,4.450883,hnsw,ef
0.999,512,7.569634,hnsw,ef
0.376,1,1.446408,ivf_flat,nprobe
0.537,2,1.982649,ivf_flat,nprobe
0.7,4,2.730107,ivf_flat,nprobe
0.839,8,4.178972,ivf_flat,nprobe
0.931,16,6.941368,ivf_flat,nprobe
0.979,32,13.09921,ivf_flat,nprobe
0.996,64,24.58277,ivf_flat,nprobe
0.999,128,48.51923,ivf_flat,nprobe
0.999,256,92.54643,ivf_flat,nprobe
0.999,512,184.2342,ivf_flat,nprobe
0.375,1,1.167151,ivf_sq8,nprobe
0.536,2,1.358035,ivf_sq8,nprobe
0.697,4,1.3874,ivf_sq8,nprobe
0.835,8,1.795691,ivf_sq8,nprobe
0.923,16,2.340407,ivf_sq8,nprobe
0.968,32,3.936784,ivf_sq8,nprobe
0.983,64,6.191661,ivf_sq8,nprobe
0.986,128,11.66764,ivf_sq8,nprobe
0.986,256,20.73767,ivf_sq8,nprobe
0.986,512,40.43717,ivf_sq8,nprobe