RT,nq,topk,vps
0.0225,1,1,44.44444
0.0219,1,200,45.6621
0.0232,1,500,43.10345
0.0257,1,1000,38.91051
0.0272,10,1,367.6471
0.0309,10,200,323.6246
0.0342,10,500,292.3977
0.0426,10,1000,234.7418
0.1853,100,1,539.6654
0.184,100,200,543.4783
0.201,100,500,497.5124
0.2595,100,1000,385.3565
0.6968,500,1,717.566
0.7929,500,200,630.5965
0.9219,500,500,542.3582
1.1462,500,1000,436.224
1.3024,1000,1,767.8133
1.5647,1000,200,639.1001
1.8711,1000,500,534.445
2.2359,1000,1000,447.2472
1.5505,1200,1,773.9439
1.9031,1200,200,630.5502
2.187,1200,500,548.6968
2.6631,1200,1000,450.6027
2.7079,2000,1,738.5797
3.2815,2000,200,609.4774
3.6797,2000,500,543.5226
4.4285,2000,1000,451.6202
6.7683,5000,1,738.7379
7.8383,5000,200,637.8934
8.7616,5000,500,570.672
10.972,5000,1000,455.7054
14.1158,10000,1,708.426
15.6977,10000,200,637.036
17.4658,10000,500,572.5475
21.9538,10000,1000,455.502